accion;tipo;fecha_vencimiento;strike;volumen_contratos;posicion_abierta;fecha_boletin
MINI IBEX-35;CALL;May-26;14.100;-;11;12/05/26
MINI IBEX-35;CALL;May-26;14.300;-;1;12/05/26
MINI IBEX-35;CALL;May-26;14.400;-;2;12/05/26
MINI IBEX-35;CALL;May-26;14.500;-;240;12/05/26
MINI IBEX-35;CALL;May-26;14.600;-;1;12/05/26
MINI IBEX-35;CALL;May-26;14.700;-;2;12/05/26
MINI IBEX-35;CALL;May-26;14.800;-;10;12/05/26
MINI IBEX-35;CALL;May-26;15.500;-;459;12/05/26
MINI IBEX-35;CALL;May-26;15.600;-;5;12/05/26
MINI IBEX-35;CALL;May-26;15.650;-;3;12/05/26
MINI IBEX-35;CALL;May-26;15.700;-;12;12/05/26
MINI IBEX-35;CALL;May-26;15.750;-;6;12/05/26
MINI IBEX-35;CALL;May-26;15.800;-;5;12/05/26
MINI IBEX-35;CALL;May-26;15.850;-;1;12/05/26
MINI IBEX-35;CALL;May-26;15.900;-;21;12/05/26
MINI IBEX-35;CALL;May-26;16.000;-;9;12/05/26
MINI IBEX-35;CALL;May-26;16.050;-;1;12/05/26
MINI IBEX-35;CALL;May-26;16.100;-;14;12/05/26
MINI IBEX-35;CALL;May-26;16.150;-;1;12/05/26
MINI IBEX-35;CALL;May-26;16.200;-;14;12/05/26
MINI IBEX-35;CALL;May-26;16.300;-;7;12/05/26
MINI IBEX-35;CALL;May-26;16.350;-;78;12/05/26
MINI IBEX-35;CALL;May-26;16.400;-;104;12/05/26
MINI IBEX-35;CALL;May-26;16.450;-;2;12/05/26
MINI IBEX-35;CALL;May-26;16.500;-;117;12/05/26
MINI IBEX-35;CALL;May-26;16.550;-;4;12/05/26
MINI IBEX-35;CALL;May-26;16.600;-;9;12/05/26
MINI IBEX-35;CALL;May-26;16.650;-;5;12/05/26
MINI IBEX-35;CALL;May-26;16.700;-;27;12/05/26
MINI IBEX-35;CALL;May-26;16.750;-;12;12/05/26
MINI IBEX-35;CALL;May-26;16.800;-;2;12/05/26
MINI IBEX-35;CALL;May-26;16.850;-;10;12/05/26
MINI IBEX-35;CALL;May-26;16.900;-;20;12/05/26
MINI IBEX-35;CALL;May-26;16.925;-;2;12/05/26
MINI IBEX-35;CALL;May-26;17.000;2;406;12/05/26
MINI IBEX-35;CALL;May-26;17.100;1;11;12/05/26
MINI IBEX-35;CALL;May-26;17.200;1;7;12/05/26
MINI IBEX-35;CALL;May-26;17.250;-;2;12/05/26
MINI IBEX-35;CALL;May-26;17.300;5;8;12/05/26
MINI IBEX-35;CALL;May-26;17.350;-;2;12/05/26
MINI IBEX-35;CALL;May-26;17.400;1;15;12/05/26
MINI IBEX-35;CALL;May-26;17.450;-;16;12/05/26
MINI IBEX-35;CALL;May-26;17.500;-;142;12/05/26
MINI IBEX-35;CALL;May-26;17.550;1;109;12/05/26
MINI IBEX-35;CALL;May-26;17.575;-;1;12/05/26
MINI IBEX-35;CALL;May-26;17.600;4;115;12/05/26
MINI IBEX-35;CALL;May-26;17.650;-;104;12/05/26
MINI IBEX-35;CALL;May-26;17.675;2;2;12/05/26
MINI IBEX-35;CALL;May-26;17.700;2;13;12/05/26
MINI IBEX-35;CALL;May-26;17.750;-;3;12/05/26
MINI IBEX-35;CALL;May-26;17.775;-;1;12/05/26
MINI IBEX-35;CALL;May-26;17.800;16;25;12/05/26
MINI IBEX-35;CALL;May-26;17.850;1;10;12/05/26
MINI IBEX-35;CALL;May-26;17.900;-;16;12/05/26
MINI IBEX-35;CALL;May-26;17.925;-;1;12/05/26
MINI IBEX-35;CALL;May-26;17.950;-;3;12/05/26
MINI IBEX-35;CALL;May-26;18.000;5;15;12/05/26
MINI IBEX-35;CALL;May-26;18.050;-;4;12/05/26
MINI IBEX-35;CALL;May-26;18.100;-;17;12/05/26
MINI IBEX-35;CALL;May-26;18.150;8;4;12/05/26
MINI IBEX-35;CALL;May-26;18.200;4;10.001;12/05/26
MINI IBEX-35;CALL;May-26;18.225;-;3;12/05/26
MINI IBEX-35;CALL;May-26;18.250;-;1;12/05/26
MINI IBEX-35;CALL;May-26;18.275;1;1;12/05/26
MINI IBEX-35;CALL;May-26;18.300;-;4;12/05/26
MINI IBEX-35;CALL;May-26;18.350;10;1;12/05/26
MINI IBEX-35;CALL;May-26;18.400;-;1;12/05/26
MINI IBEX-35;CALL;May-26;18.450;-;1;12/05/26
MINI IBEX-35;CALL;May-26;18.500;-;14;12/05/26
MINI IBEX-35;CALL;May-26;18.600;-;1;12/05/26
MINI IBEX-35;CALL;May-26;18.700;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w4 16.000;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w4 16.100;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w4 16.300;;2;2;12/05/26
MINI IBEX-35;CALL;May-26 w4 16.400;;1;1;12/05/26
MINI IBEX-35;CALL;May-26 w4 16.500;;1;2;12/05/26
MINI IBEX-35;CALL;May-26 w4 16.600;;-;2;12/05/26
MINI IBEX-35;CALL;May-26 w4 16.700;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w4 16.900;;-;3;12/05/26
MINI IBEX-35;CALL;May-26 w4 17.000;;-;2;12/05/26
MINI IBEX-35;CALL;May-26 w4 17.100;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w4 17.200;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w4 17.250;;1;1;12/05/26
MINI IBEX-35;CALL;May-26 w4 17.300;;1;4;12/05/26
MINI IBEX-35;CALL;May-26 w4 17.350;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w4 17.400;;1;4;12/05/26
MINI IBEX-35;CALL;May-26 w4 17.500;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w5 16.000;;1;1;12/05/26
MINI IBEX-35;CALL;May-26 w5 16.300;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w5 16.800;;1;4;12/05/26
MINI IBEX-35;CALL;May-26 w5 16.900;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w5 17.000;;1;1;12/05/26
MINI IBEX-35;CALL;May-26 w5 17.100;;1;1;12/05/26
MINI IBEX-35;CALL;May-26 w5 17.200;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w5 17.300;;-;5;12/05/26
MINI IBEX-35;CALL;May-26 w5 17.600;;-;1;12/05/26
MINI IBEX-35;CALL;May-26 w5 17.800;;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26 w1 16.900;;1;1;12/05/26
MINI IBEX-35;CALL;Jun-26 w1 17.100;;1;1;12/05/26
MINI IBEX-35;CALL;Jun-26;7.700;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;8.000;-;300;12/05/26
MINI IBEX-35;CALL;Jun-26;9.500;-;350;12/05/26
MINI IBEX-35;CALL;Jun-26;9.900;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;10.200;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;10.900;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;11.300;-;32;12/05/26
MINI IBEX-35;CALL;Jun-26;11.400;-;32;12/05/26
MINI IBEX-35;CALL;Jun-26;11.500;-;32;12/05/26
MINI IBEX-35;CALL;Jun-26;11.600;-;32;12/05/26
MINI IBEX-35;CALL;Jun-26;12.000;-;2;12/05/26
MINI IBEX-35;CALL;Jun-26;12.100;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;12.200;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;12.300;-;2;12/05/26
MINI IBEX-35;CALL;Jun-26;12.400;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;12.500;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;12.600;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;12.700;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;13.000;-;8;12/05/26
MINI IBEX-35;CALL;Jun-26;13.100;-;2;12/05/26
MINI IBEX-35;CALL;Jun-26;13.200;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;13.300;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;13.400;-;3;12/05/26
MINI IBEX-35;CALL;Jun-26;13.500;-;6;12/05/26
MINI IBEX-35;CALL;Jun-26;13.800;-;9;12/05/26
MINI IBEX-35;CALL;Jun-26;14.000;25;46;12/05/26
MINI IBEX-35;CALL;Jun-26;14.100;-;48;12/05/26
MINI IBEX-35;CALL;Jun-26;14.200;-;3;12/05/26
MINI IBEX-35;CALL;Jun-26;14.300;-;6;12/05/26
MINI IBEX-35;CALL;Jun-26;14.400;-;5;12/05/26
MINI IBEX-35;CALL;Jun-26;14.500;-;7;12/05/26
MINI IBEX-35;CALL;Jun-26;14.600;-;29;12/05/26
MINI IBEX-35;CALL;Jun-26;14.700;-;7;12/05/26
MINI IBEX-35;CALL;Jun-26;14.800;-;3;12/05/26
MINI IBEX-35;CALL;Jun-26;14.900;-;22;12/05/26
MINI IBEX-35;CALL;Jun-26;15.000;-;125;12/05/26
MINI IBEX-35;CALL;Jun-26;15.100;-;4;12/05/26
MINI IBEX-35;CALL;Jun-26;15.200;-;2;12/05/26
MINI IBEX-35;CALL;Jun-26;15.300;-;80;12/05/26
MINI IBEX-35;CALL;Jun-26;15.400;-;3;12/05/26
MINI IBEX-35;CALL;Jun-26;15.450;1;5;12/05/26
MINI IBEX-35;CALL;Jun-26;15.500;1;52;12/05/26
MINI IBEX-35;CALL;Jun-26;15.550;-;3;12/05/26
MINI IBEX-35;CALL;Jun-26;15.600;-;37;12/05/26
MINI IBEX-35;CALL;Jun-26;15.650;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;15.700;3;6;12/05/26
MINI IBEX-35;CALL;Jun-26;15.800;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;15.850;-;2;12/05/26
MINI IBEX-35;CALL;Jun-26;15.900;-;3;12/05/26
MINI IBEX-35;CALL;Jun-26;16.000;1;124;12/05/26
MINI IBEX-35;CALL;Jun-26;16.100;-;25;12/05/26
MINI IBEX-35;CALL;Jun-26;16.200;-;5;12/05/26
MINI IBEX-35;CALL;Jun-26;16.250;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;16.300;1;5;12/05/26
MINI IBEX-35;CALL;Jun-26;16.350;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;16.400;-;3;12/05/26
MINI IBEX-35;CALL;Jun-26;16.500;-;7;12/05/26
MINI IBEX-35;CALL;Jun-26;16.600;-;71;12/05/26
MINI IBEX-35;CALL;Jun-26;16.700;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;16.750;-;1;12/05/26
MINI IBEX-35;CALL;Jun-26;16.800;1;26;12/05/26
MINI IBEX-35;CALL;Jun-26;16.900;-;23;12/05/26
MINI IBEX-35;CALL;Jun-26;17.000;1;298;12/05/26
MINI IBEX-35;CALL;Jun-26;17.100;-;5;12/05/26
MINI IBEX-35;CALL;Jun-26;17.200;3;70;12/05/26
MINI IBEX-35;CALL;Jun-26;17.250;1;1;12/05/26
MINI IBEX-35;CALL;Jun-26;17.300;-;104;12/05/26
MINI IBEX-35;CALL;Jun-26;17.350;-;181;12/05/26
MINI IBEX-35;CALL;Jun-26;17.400;1;103;12/05/26
MINI IBEX-35;CALL;Jun-26;17.500;1;10;12/05/26
MINI IBEX-35;CALL;Jun-26;17.550;-;100;12/05/26
MINI IBEX-35;CALL;Jun-26;17.600;2;205;12/05/26
MINI IBEX-35;CALL;Jun-26;17.650;1;104;12/05/26
MINI IBEX-35;CALL;Jun-26;17.700;-;2;12/05/26
MINI IBEX-35;CALL;Jun-26;17.750;1;1;12/05/26
MINI IBEX-35;CALL;Jun-26;17.800;-;102;12/05/26
