fecha_boletin;accion;tipo;fecha_vencimiento;strike;spot;volatilidad_cierre;delta_cierre;volumen_contratos;posicion_abierta
31/08/26;MINI IBEX-35;CALL;Sep-26;7.500;19974.1;66,64;1,00;;3
31/08/26;MINI IBEX-35;CALL;Sep-26;12.200;19974.1;46,77;1,00;;32
31/08/26;MINI IBEX-35;CALL;Sep-26;14.000;19974.1;39,16;1,00;;5
31/08/26;MINI IBEX-35;CALL;Sep-26;15.000;19974.1;34,93;1,00;;2
31/08/26;MINI IBEX-35;CALL;Sep-26;15.500;19974.1;32,81;1,00;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;16.000;19974.1;30,70;1,00;;5.500
31/08/26;MINI IBEX-35;CALL;Sep-26;16.400;19974.1;29,01;1,00;;3
31/08/26;MINI IBEX-35;CALL;Sep-26;16.500;19974.1;28,59;1,00;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;17.000;19974.1;26,47;1,00;;3
31/08/26;MINI IBEX-35;CALL;Sep-26;17.200;19974.1;25,63;1,00;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;17.300;19974.1;25,20;0,99;;5
31/08/26;MINI IBEX-35;CALL;Sep-26;17.400;19974.1;24,78;0,99;;3
31/08/26;MINI IBEX-35;CALL;Sep-26;17.500;19974.1;24,36;0,99;;7
31/08/26;MINI IBEX-35;CALL;Sep-26;17.600;19974.1;23,93;0,99;;2
31/08/26;MINI IBEX-35;CALL;Sep-26;18.000;19974.1;22,24;0,98;;103
31/08/26;MINI IBEX-35;CALL;Sep-26;18.100;19974.1;21,82;0,98;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;18.200;19974.1;21,40;0,98;;6
31/08/26;MINI IBEX-35;CALL;Sep-26;18.300;19974.1;20,97;0,97;;3
31/08/26;MINI IBEX-35;CALL;Sep-26;18.400;19974.1;20,55;0,97;;2
31/08/26;MINI IBEX-35;CALL;Sep-26;18.500;19974.1;20,13;0,96;;25
31/08/26;MINI IBEX-35;CALL;Sep-26;18.600;19974.1;19,71;0,95;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;18.700;19974.1;19,28;0,94;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;18.900;19974.1;18,44;0,92;;3
31/08/26;MINI IBEX-35;CALL;Sep-26;18.950;19974.1;18,23;0,91;;3
31/08/26;MINI IBEX-35;CALL;Sep-26;19.000;19974.1;18,01;0,91;;9
31/08/26;MINI IBEX-35;CALL;Sep-26;19.100;19974.1;17,59;0,89;;18
31/08/26;MINI IBEX-35;CALL;Sep-26;19.200;19974.1;17,17;0,87;;4
31/08/26;MINI IBEX-35;CALL;Sep-26;19.250;19974.1;16,96;0,85;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;19.300;19974.1;16,75;0,84;;5
31/08/26;MINI IBEX-35;CALL;Sep-26;19.350;19974.1;16,53;0,83;;5
31/08/26;MINI IBEX-35;CALL;Sep-26;19.400;19974.1;16,32;0,81;;7
31/08/26;MINI IBEX-35;CALL;Sep-26;19.450;19974.1;16,11;0,79;;3
31/08/26;MINI IBEX-35;CALL;Sep-26;19.500;19974.1;15,90;0,78;;38
31/08/26;MINI IBEX-35;CALL;Sep-26;19.550;19974.1;15,69;0,76;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;19.600;19974.1;15,48;0,74;;2
31/08/26;MINI IBEX-35;CALL;Sep-26;19.650;19974.1;15,27;0,71;;11
31/08/26;MINI IBEX-35;CALL;Sep-26;19.700;19974.1;15,05;0,69;1;5
31/08/26;MINI IBEX-35;CALL;Sep-26;19.750;19974.1;14,84;0,67;;3
31/08/26;MINI IBEX-35;CALL;Sep-26;19.800;19974.1;14,63;0,64;1;8
31/08/26;MINI IBEX-35;CALL;Sep-26;19.850;19974.1;14,42;0,61;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;19.900;19974.1;14,21;0,58;2;120
31/08/26;MINI IBEX-35;CALL;Sep-26;19.950;19974.1;14,00;0,55;;23
31/08/26;MINI IBEX-35;CALL;Sep-26;20.000;19974.1;13,79;0,52;3;89
31/08/26;MINI IBEX-35;CALL;Sep-26;20.050;19974.1;13,64;0,49;;9
31/08/26;MINI IBEX-35;CALL;Sep-26;20.100;19974.1;13,54;0,45;3;9
31/08/26;MINI IBEX-35;CALL;Sep-26;20.150;19974.1;13,45;0,42;1;4
31/08/26;MINI IBEX-35;CALL;Sep-26;20.200;19974.1;13,35;0,39;1;8
31/08/26;MINI IBEX-35;CALL;Sep-26;20.250;19974.1;13,26;0,36;3;14
31/08/26;MINI IBEX-35;CALL;Sep-26;20.300;19974.1;13,16;0,32;2;46
31/08/26;MINI IBEX-35;CALL;Sep-26;20.350;19974.1;13,07;0,29;;12
31/08/26;MINI IBEX-35;CALL;Sep-26;20.400;19974.1;12,97;0,26;;11
31/08/26;MINI IBEX-35;CALL;Sep-26;20.450;19974.1;12,88;0,24;1;7
31/08/26;MINI IBEX-35;CALL;Sep-26;20.500;19974.1;12,78;0,21;;19
31/08/26;MINI IBEX-35;CALL;Sep-26;20.550;19974.1;12,69;0,18;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;20.600;19974.1;12,59;0,16;;8
31/08/26;MINI IBEX-35;CALL;Sep-26;20.650;19974.1;12,50;0,14;;100
31/08/26;MINI IBEX-35;CALL;Sep-26;20.700;19974.1;12,40;0,12;3;107
31/08/26;MINI IBEX-35;CALL;Sep-26;20.750;19974.1;12,31;0,10;;100
31/08/26;MINI IBEX-35;CALL;Sep-26;20.800;19974.1;12,21;0,08;;6
31/08/26;MINI IBEX-35;CALL;Sep-26;20.900;19974.1;12,02;0,06;;6
31/08/26;MINI IBEX-35;CALL;Sep-26;21.000;19974.1;11,83;0,04;1;8
31/08/26;MINI IBEX-35;CALL;Sep-26;21.050;19974.1;11,74;0,03;;2
31/08/26;MINI IBEX-35;CALL;Sep-26;21.100;19974.1;11,65;0,02;;1
31/08/26;MINI IBEX-35;CALL;Sep-26;21.200;19974.1;11,46;0,01;;11
31/08/26;MINI IBEX-35;CALL;Sep-26;21.300;19974.1;11,27;0,01;;5
31/08/26;MINI IBEX-35;CALL;Sep-26;24.000;19974.1;6,14;;;5.500
31/08/26;MINI IBEX-35;CALL;Oct-26;19.450;19974.1;16,21;0,70;;1
31/08/26;MINI IBEX-35;CALL;Oct-26;19.550;19974.1;15,86;0,67;;1
31/08/26;MINI IBEX-35;CALL;Oct-26;20.000;19974.1;14,27;0,52;2;5
31/08/26;MINI IBEX-35;CALL;Oct-26;20.100;19974.1;14,07;0,48;;1
31/08/26;MINI IBEX-35;CALL;Oct-26;20.200;19974.1;13,91;0,44;;8
31/08/26;MINI IBEX-35;CALL;Oct-26;20.250;19974.1;13,84;0,42;;4
31/08/26;MINI IBEX-35;CALL;Oct-26;20.300;19974.1;13,76;0,40;1;1
31/08/26;MINI IBEX-35;CALL;Oct-26;20.400;19974.1;13,61;0,36;;1
31/08/26;MINI IBEX-35;CALL;Oct-26;20.500;19974.1;13,45;0,32;;1
31/08/26;MINI IBEX-35;CALL;Oct-26;20.650;19974.1;13,22;0,26;;100
31/08/26;MINI IBEX-35;CALL;Oct-26;20.700;19974.1;13,15;0,25;11;112
31/08/26;MINI IBEX-35;CALL;Oct-26;20.750;19974.1;13,07;0,23;;100
31/08/26;MINI IBEX-35;CALL;Oct-26;20.800;19974.1;12,99;0,21;;2
31/08/26;MINI IBEX-35;CALL;Oct-26;20.900;19974.1;12,84;0,18;;1
31/08/26;MINI IBEX-35;CALL;Oct-26;21.000;19974.1;12,69;0,15;6;6
31/08/26;MINI IBEX-35;CALL;Oct-26;21.100;19974.1;12,53;0,13;;4
31/08/26;MINI IBEX-35;CALL;Oct-26;21.400;19974.1;12,07;0,06;1;2
31/08/26;MINI IBEX-35;CALL;Oct-26;21.600;19974.1;11,77;0,04;;2
31/08/26;MINI IBEX-35;CALL;Nov-26;19.700;19974.1;16,12;0,58;;1
31/08/26;MINI IBEX-35;CALL;Nov-26;19.900;19974.1;15,48;0,53;;1
31/08/26;MINI IBEX-35;CALL;Nov-26;19.950;19974.1;15,32;0,52;;1
31/08/26;MINI IBEX-35;CALL;Nov-26;20.000;19974.1;15,20;0,50;;1
31/08/26;MINI IBEX-35;CALL;Nov-26;20.700;19974.1;14,19;0,31;;1
31/08/26;MINI IBEX-35;CALL;Nov-26;21.000;19974.1;13,75;0,23;1;1
31/08/26;MINI IBEX-35;CALL;Nov-26;21.250;19974.1;13,39;0,17;;1
