fecha_boletin;accion;tipo;fecha_vencimiento;strike;spot;volatilidad_cierre;delta_cierre;volumen_contratos;posicion_abierta
31/07/26;MINI IBEX-35;CALL;Ago-26;16.500;19782.9;29,38;0,99;;4
31/07/26;MINI IBEX-35;CALL;Ago-26;17.000;19782.9;27,25;0,99;;1
31/07/26;MINI IBEX-35;CALL;Ago-26;17.500;19782.9;25,11;0,98;;1
31/07/26;MINI IBEX-35;CALL;Ago-26;17.700;19782.9;24,25;0,97;;1
31/07/26;MINI IBEX-35;CALL;Ago-26;18.000;19782.9;22,97;0,96;;14
31/07/26;MINI IBEX-35;CALL;Ago-26;18.050;19782.9;22,76;0,96;;1
31/07/26;MINI IBEX-35;CALL;Ago-26;18.150;19782.9;22,33;0,95;;4
31/07/26;MINI IBEX-35;CALL;Ago-26;18.200;19782.9;22,12;0,95;;1
31/07/26;MINI IBEX-35;CALL;Ago-26;18.300;19782.9;21,69;0,94;;2
31/07/26;MINI IBEX-35;CALL;Ago-26;18.350;19782.9;21,48;0,93;;1
31/07/26;MINI IBEX-35;CALL;Ago-26;18.400;19782.9;21,26;0,93;;6
31/07/26;MINI IBEX-35;CALL;Ago-26;18.450;19782.9;21,05;0,92;;1
31/07/26;MINI IBEX-35;CALL;Ago-26;18.500;19782.9;20,84;0,92;;12
31/07/26;MINI IBEX-35;CALL;Ago-26;18.600;19782.9;20,41;0,90;;3
31/07/26;MINI IBEX-35;CALL;Ago-26;18.800;19782.9;19,55;0,87;;6
31/07/26;MINI IBEX-35;CALL;Ago-26;18.850;19782.9;19,34;0,86;;1
31/07/26;MINI IBEX-35;CALL;Ago-26;18.900;19782.9;19,13;0,85;1;6
31/07/26;MINI IBEX-35;CALL;Ago-26;19.000;19782.9;18,70;0,83;1;20
31/07/26;MINI IBEX-35;CALL;Ago-26;19.100;19782.9;18,27;0,80;;3
31/07/26;MINI IBEX-35;CALL;Ago-26;19.150;19782.9;18,06;0,79;;1
31/07/26;MINI IBEX-35;CALL;Ago-26;19.200;19782.9;17,84;0,77;;78
