fecha_boletin;accion;tipo;fecha_vencimiento;strike;spot;volatilidad_cierre;delta_cierre;volumen_contratos;posicion_abierta
07/09/26;MINI IBEX-35;CALL;Sep-26;7.500;20021.8;68,90;1,00;;3
07/09/26;MINI IBEX-35;CALL;Sep-26;12.200;20021.8;48,40;1,00;;32
07/09/26;MINI IBEX-35;CALL;Sep-26;14.000;20021.8;40,56;1,00;;5
07/09/26;MINI IBEX-35;CALL;Sep-26;15.000;20021.8;36,19;1,00;;2
07/09/26;MINI IBEX-35;CALL;Sep-26;15.500;20021.8;34,01;1,00;;1
07/09/26;MINI IBEX-35;CALL;Sep-26;16.000;20021.8;31,83;1,00;;5.500
07/09/26;MINI IBEX-35;CALL;Sep-26;16.400;20021.8;30,09;1,00;;3
07/09/26;MINI IBEX-35;CALL;Sep-26;16.500;20021.8;29,65;1,00;;1
07/09/26;MINI IBEX-35;CALL;Sep-26;17.000;20021.8;27,47;1,00;;3
07/09/26;MINI IBEX-35;CALL;Sep-26;17.200;20021.8;26,60;1,00;;1
07/09/26;MINI IBEX-35;CALL;Sep-26;17.300;20021.8;26,17;1,00;;5
07/09/26;MINI IBEX-35;CALL;Sep-26;17.400;20021.8;25,73;1,00;;3
07/09/26;MINI IBEX-35;CALL;Sep-26;17.500;20021.8;25,29;1,00;;7
07/09/26;MINI IBEX-35;CALL;Sep-26;17.600;20021.8;24,86;1,00;;2
07/09/26;MINI IBEX-35;CALL;Sep-26;18.000;20021.8;23,11;1,00;;103
07/09/26;MINI IBEX-35;CALL;Sep-26;18.100;20021.8;22,68;0,99;;1
07/09/26;MINI IBEX-35;CALL;Sep-26;18.200;20021.8;22,24;0,99;;6
07/09/26;MINI IBEX-35;CALL;Sep-26;18.300;20021.8;21,81;0,99;;3
07/09/26;MINI IBEX-35;CALL;Sep-26;18.400;20021.8;21,37;0,99;;2
07/09/26;MINI IBEX-35;CALL;Sep-26;18.500;20021.8;20,93;0,98;;25
07/09/26;MINI IBEX-35;CALL;Sep-26;18.600;20021.8;20,50;0,98;;1
07/09/26;MINI IBEX-35;CALL;Sep-26;18.700;20021.8;20,06;0,98;;1
07/09/26;MINI IBEX-35;CALL;Sep-26;18.900;20021.8;19,19;0,96;;4
07/09/26;MINI IBEX-35;CALL;Sep-26;18.950;20021.8;18,97;0,95;;3
07/09/26;MINI IBEX-35;CALL;Sep-26;19.000;20021.8;18,75;0,95;;9
07/09/26;MINI IBEX-35;CALL;Sep-26;19.100;20021.8;18,32;0,93;;18
07/09/26;MINI IBEX-35;CALL;Sep-26;19.200;20021.8;17,88;0,91;;4
07/09/26;MINI IBEX-35;CALL;Sep-26;19.250;20021.8;17,66;0,90;;1
07/09/26;MINI IBEX-35;CALL;Sep-26;19.300;20021.8;17,44;0,89;;5
07/09/26;MINI IBEX-35;CALL;Sep-26;19.350;20021.8;17,23;0,88;;5
07/09/26;MINI IBEX-35;CALL;Sep-26;19.400;20021.8;17,01;0,86;;8
07/09/26;MINI IBEX-35;CALL;Sep-26;19.450;20021.8;16,79;0,84;;5
07/09/26;MINI IBEX-35;CALL;Sep-26;19.500;20021.8;16,57;0,83;;38
07/09/26;MINI IBEX-35;CALL;Sep-26;19.550;20021.8;16,35;0,80;;1
07/09/26;MINI IBEX-35;CALL;Sep-26;19.600;20021.8;16,14;0,78;;2
07/09/26;MINI IBEX-35;CALL;Sep-26;19.650;20021.8;15,92;0,76;;11
07/09/26;MINI IBEX-35;CALL;Sep-26;19.700;20021.8;15,70;0,73;;8
07/09/26;MINI IBEX-35;CALL;Sep-26;19.750;20021.8;15,48;0,70;;3
07/09/26;MINI IBEX-35;CALL;Sep-26;19.800;20021.8;15,26;0,67;;10
07/09/26;MINI IBEX-35;CALL;Sep-26;19.850;20021.8;15,05;0,64;;1
07/09/26;MINI IBEX-35;CALL;Sep-26;19.900;20021.8;14,83;0,60;;124
07/09/26;MINI IBEX-35;CALL;Sep-26;19.950;20021.8;14,61;0,57;;25
07/09/26;MINI IBEX-35;CALL;Sep-26;20.000;20021.8;14,39;0,53;;96
07/09/26;MINI IBEX-35;CALL;Sep-26;20.050;20021.8;14,23;0,49;1;10
07/09/26;MINI IBEX-35;CALL;Sep-26;20.100;20021.8;14,13;0,45;2;17
07/09/26;MINI IBEX-35;CALL;Sep-26;20.150;20021.8;14,03;0,41;;8
