accion;tipo;fecha_vencimiento;strike;volumen_contratos;posicion_abierta;fecha_boletin
MINI IBEX-35;CALL;Abr-26 w0 16.400;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 16.700;;3;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 16.750;;3;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 16.800;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 16.950;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.000;;3;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.100;;2;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.150;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.200;;3;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.225;;2;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.250;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.300;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.350;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.400;;83;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.425;;32;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.450;;4;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.475;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.500;;5;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.525;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.550;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.600;;6;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.650;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.675;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.700;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.800;;2;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.825;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.850;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.900;;3;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.950;;2;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 17.975;;1;-;30/04/26
MINI IBEX-35;CALL;Abr-26 w0 18.000;;1;-;30/04/26
