fecha_boletin;accion;tipo;fecha_vencimiento;strike;spot;volatilidad_cierre;delta_cierre;volumen_contratos;posicion_abierta
30/06/26;MINI IBEX-35;CALL;Jul-26;17.000;19471.9;25,06;0,99;;1
30/06/26;MINI IBEX-35;CALL;Jul-26;17.300;19471.9;23,79;0,99;;100
30/06/26;MINI IBEX-35;CALL;Jul-26;17.500;19471.9;22,94;0,98;;1
30/06/26;MINI IBEX-35;CALL;Jul-26;17.600;19471.9;22,52;0,98;;100
30/06/26;MINI IBEX-35;CALL;Jul-26;17.850;19471.9;21,45;0,96;;100
30/06/26;MINI IBEX-35;CALL;Jul-26;17.900;19471.9;21,24;0,96;;2
30/06/26;MINI IBEX-35;CALL;Jul-26;18.000;19471.9;20,82;0,95;;18
30/06/26;MINI IBEX-35;CALL;Jul-26;18.050;19471.9;20,61;0,95;;1
30/06/26;MINI IBEX-35;CALL;Jul-26;18.100;19471.9;20,39;0,94;;105
30/06/26;MINI IBEX-35;CALL;Jul-26;18.150;19471.9;20,18;0,94;;106
30/06/26;MINI IBEX-35;CALL;Jul-26;18.200;19471.9;19,97;0,93;;4
30/06/26;MINI IBEX-35;CALL;Jul-26;18.250;19471.9;19,76;0,92;;3
30/06/26;MINI IBEX-35;CALL;Jul-26;18.300;19471.9;19,54;0,92;;3
30/06/26;MINI IBEX-35;CALL;Jul-26;18.350;19471.9;19,33;0,91;;2
30/06/26;MINI IBEX-35;CALL;Jul-26;18.400;19471.9;19,12;0,90;;5
30/06/26;MINI IBEX-35;CALL;Jul-26;18.450;19471.9;18,91;0,89;;4
30/06/26;MINI IBEX-35;CALL;Jul-26;18.500;19471.9;18,70;0,88;;35
30/06/26;MINI IBEX-35;CALL;Jul-26;18.550;19471.9;18,48;0,87;;10
30/06/26;MINI IBEX-35;CALL;Jul-26;18.600;19471.9;18,27;0,86;;6
30/06/26;MINI IBEX-35;CALL;Jul-26;18.700;19471.9;17,85;0,83;;1
30/06/26;MINI IBEX-35;CALL;Jul-26;18.800;19471.9;17,42;0,80;;24
30/06/26;MINI IBEX-35;CALL;Jul-26;18.850;19471.9;17,21;0,78;;11
30/06/26;MINI IBEX-35;CALL;Jul-26;18.900;19471.9;17,00;0,76;;10
30/06/26;MINI IBEX-35;CALL;Jul-26;18.950;19471.9;16,79;0,74;;1
30/06/26;MINI IBEX-35;CALL;Jul-26;19.000;19471.9;16,57;0,72;;26
30/06/26;MINI IBEX-35;CALL;Jul-26;19.050;19471.9;16,36;0,70;;2
30/06/26;MINI IBEX-35;CALL;Jul-26;19.100;19471.9;16,15;0,68;1;6
30/06/26;MINI IBEX-35;CALL;Jul-26;19.200;19471.9;15,72;0,62;;17
30/06/26;MINI IBEX-35;CALL;Jul-26;19.250;19471.9;15,51;0,59;5;107
30/06/26;MINI IBEX-35;CALL;Jul-26;19.300;19471.9;15,30;0,57;;12
30/06/26;MINI IBEX-35;CALL;Jul-26;19.350;19471.9;15,09;0,54;;3
30/06/26;MINI IBEX-35;CALL;Jul-26;19.400;19471.9;14,88;0,50;2;14
