==============================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 28/08/26
==============================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----------------  ----------------
28/08/26       SANTANDER  CALL  Sep-26             13,00   10.000             10.064          
28/08/26       IBERDROLA  PUT   Dic-26             20,00   2.500              81.018          
28/08/26       IBERDROLA  PUT   Dic-27             20,00   2.500              9.250           
28/08/26       INDRA      CALL  Dic-26             60,00   200                196             
28/08/26       IBERDROLA  PUT   Jun-27             17,50   48                 5               
28/08/26       SANTANDER  CALL  Mar-27             15,00   30                 120             
28/08/26       SANTANDER  PUT   Nov-26             12,00   20                 26              
28/08/26       BBVA       PUT   Oct-26             23,00   20                 121             
28/08/26       INDRA      CALL  Dic-26             70,00   20                 20              
28/08/26       REPSOL     CALL  Sep-26             27,00   20                 198             
-------------  ---------  ----  -----------------  ------  -----------------  ----------------
Generado: 31/08/2026 09:26
