fecha_boletin;accion;tipo;fecha_vencimiento;strike;spot;volatilidad_cierre;delta_cierre;volumen_contratos;posicion_abierta
25/08/26;MINI IBEX-35;CALL;Sep-26;7.500;20056.6;64,81;1,00;;3
25/08/26;MINI IBEX-35;CALL;Sep-26;12.200;20056.6;45,90;1,00;;32
25/08/26;MINI IBEX-35;CALL;Sep-26;14.000;20056.6;38,65;1,00;;5
25/08/26;MINI IBEX-35;CALL;Sep-26;15.000;20056.6;34,63;1,00;;2
25/08/26;MINI IBEX-35;CALL;Sep-26;15.500;20056.6;32,62;1,00;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;16.000;20056.6;30,60;1,00;;5.500
25/08/26;MINI IBEX-35;CALL;Sep-26;16.400;20056.6;28,99;1,00;;3
25/08/26;MINI IBEX-35;CALL;Sep-26;16.500;20056.6;28,59;1,00;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;17.000;20056.6;26,58;0,99;;3
25/08/26;MINI IBEX-35;CALL;Sep-26;17.200;20056.6;25,77;0,99;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;17.300;20056.6;25,37;0,99;;5
25/08/26;MINI IBEX-35;CALL;Sep-26;17.400;20056.6;24,97;0,99;;3
25/08/26;MINI IBEX-35;CALL;Sep-26;17.500;20056.6;24,57;0,99;;7
25/08/26;MINI IBEX-35;CALL;Sep-26;17.600;20056.6;24,16;0,98;;2
25/08/26;MINI IBEX-35;CALL;Sep-26;18.000;20056.6;22,55;0,97;;103
25/08/26;MINI IBEX-35;CALL;Sep-26;18.100;20056.6;22,15;0,97;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;18.200;20056.6;21,75;0,96;;6
25/08/26;MINI IBEX-35;CALL;Sep-26;18.300;20056.6;21,35;0,96;;3
25/08/26;MINI IBEX-35;CALL;Sep-26;18.400;20056.6;20,94;0,95;;2
25/08/26;MINI IBEX-35;CALL;Sep-26;18.500;20056.6;20,54;0,95;;25
25/08/26;MINI IBEX-35;CALL;Sep-26;18.600;20056.6;20,14;0,94;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;18.700;20056.6;19,74;0,93;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;18.900;20056.6;18,93;0,90;1;3
25/08/26;MINI IBEX-35;CALL;Sep-26;18.950;20056.6;18,73;0,90;;3
25/08/26;MINI IBEX-35;CALL;Sep-26;19.000;20056.6;18,53;0,89;;9
25/08/26;MINI IBEX-35;CALL;Sep-26;19.100;20056.6;18,13;0,87;;18
25/08/26;MINI IBEX-35;CALL;Sep-26;19.200;20056.6;17,72;0,85;;4
25/08/26;MINI IBEX-35;CALL;Sep-26;19.250;20056.6;17,52;0,84;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;19.300;20056.6;17,32;0,83;;5
25/08/26;MINI IBEX-35;CALL;Sep-26;19.350;20056.6;17,12;0,82;;5
25/08/26;MINI IBEX-35;CALL;Sep-26;19.400;20056.6;16,92;0,80;1;8
25/08/26;MINI IBEX-35;CALL;Sep-26;19.450;20056.6;16,72;0,79;;3
25/08/26;MINI IBEX-35;CALL;Sep-26;19.500;20056.6;16,52;0,78;;37
25/08/26;MINI IBEX-35;CALL;Sep-26;19.550;20056.6;16,32;0,76;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;19.600;20056.6;16,11;0,74;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;19.650;20056.6;15,91;0,73;;11
25/08/26;MINI IBEX-35;CALL;Sep-26;19.700;20056.6;15,71;0,71;;4
25/08/26;MINI IBEX-35;CALL;Sep-26;19.750;20056.6;15,51;0,69;;3
25/08/26;MINI IBEX-35;CALL;Sep-26;19.800;20056.6;15,31;0,67;1;9
25/08/26;MINI IBEX-35;CALL;Sep-26;19.850;20056.6;15,11;0,64;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;19.900;20056.6;14,91;0,62;2;118
25/08/26;MINI IBEX-35;CALL;Sep-26;19.950;20056.6;14,71;0,60;;23
25/08/26;MINI IBEX-35;CALL;Sep-26;20.000;20056.6;14,50;0,57;;86
25/08/26;MINI IBEX-35;CALL;Sep-26;20.050;20056.6;14,30;0,55;;10
25/08/26;MINI IBEX-35;CALL;Sep-26;20.100;20056.6;14,10;0,52;3;5
25/08/26;MINI IBEX-35;CALL;Sep-26;20.150;20056.6;13,96;0,49;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;20.200;20056.6;13,87;0,47;3;8
25/08/26;MINI IBEX-35;CALL;Sep-26;20.250;20056.6;13,78;0,44;2;13
25/08/26;MINI IBEX-35;CALL;Sep-26;20.300;20056.6;13,69;0,41;2;47
25/08/26;MINI IBEX-35;CALL;Sep-26;20.350;20056.6;13,61;0,38;;10
25/08/26;MINI IBEX-35;CALL;Sep-26;20.400;20056.6;13,52;0,35;1;7
25/08/26;MINI IBEX-35;CALL;Sep-26;20.450;20056.6;13,43;0,33;;8
25/08/26;MINI IBEX-35;CALL;Sep-26;20.500;20056.6;13,34;0,30;;18
25/08/26;MINI IBEX-35;CALL;Sep-26;20.550;20056.6;13,25;0,28;;1
25/08/26;MINI IBEX-35;CALL;Sep-26;20.600;20056.6;13,17;0,25;;8
25/08/26;MINI IBEX-35;CALL;Sep-26;20.650;20056.6;13,08;0,23;;100
25/08/26;MINI IBEX-35;CALL;Sep-26;20.700;20056.6;12,99;0,21;;104
25/08/26;MINI IBEX-35;CALL;Sep-26;20.750;20056.6;12,90;0,18;;100
25/08/26;MINI IBEX-35;CALL;Sep-26;20.800;20056.6;12,82;0,16;;6
25/08/26;MINI IBEX-35;CALL;Sep-26;20.900;20056.6;12,64;0,13;;6
25/08/26;MINI IBEX-35;CALL;Sep-26;21.000;20056.6;12,46;0,10;;13
