fecha_boletin;accion;tipo;fecha_vencimiento;strike;spot;volatilidad_cierre;delta_cierre;volumen_contratos;posicion_abierta
13/08/26;MINI IBEX-35;CALL;Ago-26;16.500;20168.6;26,78;1,00;;4
13/08/26;MINI IBEX-35;CALL;Ago-26;17.000;20168.6;24,73;1,00;;1
13/08/26;MINI IBEX-35;CALL;Ago-26;17.500;20168.6;22,68;1,00;;1
13/08/26;MINI IBEX-35;CALL;Ago-26;17.700;20168.6;21,87;1,00;;1
13/08/26;MINI IBEX-35;CALL;Ago-26;18.000;20168.6;20,64;1,00;;13
13/08/26;MINI IBEX-35;CALL;Ago-26;18.050;20168.6;20,43;1,00;;1
13/08/26;MINI IBEX-35;CALL;Ago-26;18.150;20168.6;20,02;1,00;;4
13/08/26;MINI IBEX-35;CALL;Ago-26;18.200;20168.6;19,82;1,00;;1
13/08/26;MINI IBEX-35;CALL;Ago-26;18.300;20168.6;19,41;1,00;;2
13/08/26;MINI IBEX-35;CALL;Ago-26;18.350;20168.6;19,21;1,00;;1
13/08/26;MINI IBEX-35;CALL;Ago-26;18.400;20168.6;19,00;1,00;;6
13/08/26;MINI IBEX-35;CALL;Ago-26;18.450;20168.6;18,80;1,00;;1
13/08/26;MINI IBEX-35;CALL;Ago-26;18.500;20168.6;18,59;1,00;;12
13/08/26;MINI IBEX-35;CALL;Ago-26;18.600;20168.6;18,18;1,00;;3
13/08/26;MINI IBEX-35;CALL;Ago-26;18.800;20168.6;17,36;1,00;;6
13/08/26;MINI IBEX-35;CALL;Ago-26;18.850;20168.6;17,16;1,00;;1
13/08/26;MINI IBEX-35;CALL;Ago-26;18.900;20168.6;16,96;1,00;;6
13/08/26;MINI IBEX-35;CALL;Ago-26;19.000;20168.6;16,55;0,99;;21
13/08/26;MINI IBEX-35;CALL;Ago-26;19.100;20168.6;16,14;0,99;;3
13/08/26;MINI IBEX-35;CALL;Ago-26;19.150;20168.6;15,93;0,99;;1
13/08/26;MINI IBEX-35;CALL;Ago-26;19.200;20168.6;15,73;0,98;;78
13/08/26;MINI IBEX-35;CALL;Ago-26;19.300;20168.6;15,32;0,98;;9
13/08/26;MINI IBEX-35;CALL;Ago-26;19.350;20168.6;15,11;0,97;;7
13/08/26;MINI IBEX-35;CALL;Ago-26;19.400;20168.6;14,91;0,97;;6
13/08/26;MINI IBEX-35;CALL;Ago-26;19.450;20168.6;14,70;0,96;;2
13/08/26;MINI IBEX-35;CALL;Ago-26;19.500;20168.6;14,50;0,95;;26
13/08/26;MINI IBEX-35;CALL;Ago-26;19.550;20168.6;14,29;0,94;;2
13/08/26;MINI IBEX-35;CALL;Ago-26;19.600;20168.6;14,09;0,93;;62
13/08/26;MINI IBEX-35;CALL;Ago-26;19.650;20168.6;13,89;0,91;;6
13/08/26;MINI IBEX-35;CALL;Ago-26;19.700;20168.6;13,68;0,89;;108
13/08/26;MINI IBEX-35;CALL;Ago-26;19.750;20168.6;13,48;0,87;;100
13/08/26;MINI IBEX-35;CALL;Ago-26;19.800;20168.6;13,27;0,85;;138
13/08/26;MINI IBEX-35;CALL;Ago-26;19.850;20168.6;13,07;0,82;;102
13/08/26;MINI IBEX-35;CALL;Ago-26;19.900;20168.6;12,86;0,78;1;113
13/08/26;MINI IBEX-35;CALL;Ago-26;19.950;20168.6;12,66;0,75;3;70
13/08/26;MINI IBEX-35;CALL;Ago-26;20.000;20168.6;12,45;0,71;;219
13/08/26;MINI IBEX-35;CALL;Ago-26;20.050;20168.6;12,25;0,66;;2
13/08/26;MINI IBEX-35;CALL;Ago-26;20.100;20168.6;12,04;0,61;;87
13/08/26;MINI IBEX-35;CALL;Ago-26;20.150;20168.6;11,84;0,56;1;4
13/08/26;MINI IBEX-35;CALL;Ago-26;20.200;20168.6;11,64;0,50;17;37
13/08/26;MINI IBEX-35;CALL;Ago-26;20.250;20168.6;11,54;0,44;3;4
13/08/26;MINI IBEX-35;CALL;Ago-26;20.300;20168.6;11,44;0,39;;18
13/08/26;MINI IBEX-35;CALL;Ago-26;20.350;20168.6;11,35;0,33;;2
13/08/26;MINI IBEX-35;CALL;Ago-26;20.375;20168.6;11,30;0,31;1;1
13/08/26;MINI IBEX-35;CALL;Ago-26;20.400;20168.6;11,25;0,28;;24
13/08/26;MINI IBEX-35;CALL;Ago-26;20.450;20168.6;11,15;0,23;;21
13/08/26;MINI IBEX-35;CALL;Ago-26;20.500;20168.6;11,06;0,19;;12
13/08/26;MINI IBEX-35;CALL;Ago-26;20.600;20168.6;10,87;0,11;2;29
13/08/26;MINI IBEX-35;CALL;Ago-26;20.700;20168.6;10,67;0,06;;5
13/08/26;MINI IBEX-35;CALL;Ago-26;20.800;20168.6;10,48;0,03;;2
13/08/26;MINI IBEX-35;CALL;Ago-26;20.900;20168.6;10,29;0,01;;1
13/08/26;MINI IBEX-35;CALL;Ago-26;21.000;20168.6;10,09;;;2
13/08/26;MINI IBEX-35;CALL;Ago-26;21.050;20168.6;10,00;;;1
13/08/26;MINI IBEX-35;CALL;Sep-26;7.500;20168.6;58,58;1,00;;3
13/08/26;MINI IBEX-35;CALL;Sep-26;12.200;20168.6;42,09;1,00;;32
13/08/26;MINI IBEX-35;CALL;Sep-26;14.000;20168.6;35,77;1,00;;5
13/08/26;MINI IBEX-35;CALL;Sep-26;15.000;20168.6;32,26;1,00;;2
13/08/26;MINI IBEX-35;CALL;Sep-26;15.500;20168.6;30,51;1,00;;1
13/08/26;MINI IBEX-35;CALL;Sep-26;16.000;20168.6;28,76;0,99;;5.500
13/08/26;MINI IBEX-35;CALL;Sep-26;16.400;20168.6;27,35;0,99;;3
13/08/26;MINI IBEX-35;CALL;Sep-26;16.500;20168.6;27,00;0,99;;1
13/08/26;MINI IBEX-35;CALL;Sep-26;17.000;20168.6;25,25;0,98;;3
13/08/26;MINI IBEX-35;CALL;Sep-26;17.200;20168.6;24,55;0,98;;1
13/08/26;MINI IBEX-35;CALL;Sep-26;17.300;20168.6;24,19;0,98;;5
