accion;tipo;fecha_vencimiento;strike;volumen_contratos;posicion_abierta;fecha_boletin
MINI IBEX-35;CALL;May-26;14.100;-;11;11/05/26
MINI IBEX-35;CALL;May-26;14.300;-;1;11/05/26
MINI IBEX-35;CALL;May-26;14.400;-;2;11/05/26
MINI IBEX-35;CALL;May-26;14.500;-;240;11/05/26
MINI IBEX-35;CALL;May-26;14.600;-;1;11/05/26
MINI IBEX-35;CALL;May-26;14.700;-;2;11/05/26
MINI IBEX-35;CALL;May-26;14.800;-;10;11/05/26
MINI IBEX-35;CALL;May-26;15.500;-;459;11/05/26
MINI IBEX-35;CALL;May-26;15.600;-;5;11/05/26
MINI IBEX-35;CALL;May-26;15.650;-;3;11/05/26
MINI IBEX-35;CALL;May-26;15.700;-;12;11/05/26
MINI IBEX-35;CALL;May-26;15.750;-;6;11/05/26
MINI IBEX-35;CALL;May-26;15.800;-;5;11/05/26
MINI IBEX-35;CALL;May-26;15.850;-;1;11/05/26
MINI IBEX-35;CALL;May-26;15.900;-;21;11/05/26
MINI IBEX-35;CALL;May-26;16.000;-;9;11/05/26
MINI IBEX-35;CALL;May-26;16.050;-;1;11/05/26
MINI IBEX-35;CALL;May-26;16.100;-;14;11/05/26
MINI IBEX-35;CALL;May-26;16.150;-;1;11/05/26
MINI IBEX-35;CALL;May-26;16.200;-;14;11/05/26
MINI IBEX-35;CALL;May-26;16.300;-;7;11/05/26
MINI IBEX-35;CALL;May-26;16.350;-;78;11/05/26
MINI IBEX-35;CALL;May-26;16.400;-;104;11/05/26
MINI IBEX-35;CALL;May-26;16.450;-;2;11/05/26
MINI IBEX-35;CALL;May-26;16.500;-;117;11/05/26
MINI IBEX-35;CALL;May-26;16.550;-;4;11/05/26
MINI IBEX-35;CALL;May-26;16.600;-;9;11/05/26
MINI IBEX-35;CALL;May-26;16.650;-;5;11/05/26
MINI IBEX-35;CALL;May-26;16.700;-;27;11/05/26
MINI IBEX-35;CALL;May-26;16.750;-;12;11/05/26
MINI IBEX-35;CALL;May-26;16.800;-;2;11/05/26
MINI IBEX-35;CALL;May-26;16.850;-;10;11/05/26
MINI IBEX-35;CALL;May-26;16.900;-;20;11/05/26
MINI IBEX-35;CALL;May-26;16.925;1;2;11/05/26
MINI IBEX-35;CALL;May-26;17.000;2;406;11/05/26
MINI IBEX-35;CALL;May-26;17.100;-;11;11/05/26
MINI IBEX-35;CALL;May-26;17.200;1;7;11/05/26
MINI IBEX-35;CALL;May-26;17.250;-;2;11/05/26
MINI IBEX-35;CALL;May-26;17.300;-;7;11/05/26
MINI IBEX-35;CALL;May-26;17.350;-;2;11/05/26
MINI IBEX-35;CALL;May-26;17.400;-;15;11/05/26
MINI IBEX-35;CALL;May-26;17.450;-;16;11/05/26
MINI IBEX-35;CALL;May-26;17.500;8;142;11/05/26
MINI IBEX-35;CALL;May-26;17.550;-;109;11/05/26
MINI IBEX-35;CALL;May-26;17.575;-;1;11/05/26
MINI IBEX-35;CALL;May-26;17.600;1;114;11/05/26
MINI IBEX-35;CALL;May-26;17.650;-;104;11/05/26
MINI IBEX-35;CALL;May-26;17.675;2;2;11/05/26
MINI IBEX-35;CALL;May-26;17.700;1;13;11/05/26
