fecha_boletin;accion;tipo;fecha_vencimiento;strike;spot;volatilidad_cierre;delta_cierre;volumen_contratos;posicion_abierta
27/08/26;MINI IBEX-35;CALL;Sep-26;7.500;19881.6;64,86;1,00;;3
27/08/26;MINI IBEX-35;CALL;Sep-26;12.200;19881.6;45,65;1,00;;32
27/08/26;MINI IBEX-35;CALL;Sep-26;14.000;19881.6;38,29;1,00;;5
27/08/26;MINI IBEX-35;CALL;Sep-26;15.000;19881.6;34,21;1,00;;2
27/08/26;MINI IBEX-35;CALL;Sep-26;15.500;19881.6;32,16;1,00;;1
27/08/26;MINI IBEX-35;CALL;Sep-26;16.000;19881.6;30,12;1,00;;5.500
27/08/26;MINI IBEX-35;CALL;Sep-26;16.400;19881.6;28,48;1,00;;3
27/08/26;MINI IBEX-35;CALL;Sep-26;16.500;19881.6;28,08;1,00;;1
27/08/26;MINI IBEX-35;CALL;Sep-26;17.000;19881.6;26,03;0,99;;3
27/08/26;MINI IBEX-35;CALL;Sep-26;17.200;19881.6;25,21;0,99;;1
27/08/26;MINI IBEX-35;CALL;Sep-26;17.300;19881.6;24,81;0,99;;5
27/08/26;MINI IBEX-35;CALL;Sep-26;17.400;19881.6;24,40;0,99;;3
27/08/26;MINI IBEX-35;CALL;Sep-26;17.500;19881.6;23,99;0,98;;7
27/08/26;MINI IBEX-35;CALL;Sep-26;17.600;19881.6;23,58;0,98;;2
27/08/26;MINI IBEX-35;CALL;Sep-26;18.000;19881.6;21,94;0,97;;103
27/08/26;MINI IBEX-35;CALL;Sep-26;18.100;19881.6;21,54;0,96;;1
27/08/26;MINI IBEX-35;CALL;Sep-26;18.200;19881.6;21,13;0,96;;6
27/08/26;MINI IBEX-35;CALL;Sep-26;18.300;19881.6;20,72;0,95;;3
27/08/26;MINI IBEX-35;CALL;Sep-26;18.400;19881.6;20,31;0,94;;2
27/08/26;MINI IBEX-35;CALL;Sep-26;18.500;19881.6;19,90;0,93;;25
27/08/26;MINI IBEX-35;CALL;Sep-26;18.600;19881.6;19,49;0,92;;1
27/08/26;MINI IBEX-35;CALL;Sep-26;18.700;19881.6;19,08;0,91;;1
27/08/26;MINI IBEX-35;CALL;Sep-26;18.900;19881.6;18,27;0,88;;3
27/08/26;MINI IBEX-35;CALL;Sep-26;18.950;19881.6;18,06;0,87;;3
27/08/26;MINI IBEX-35;CALL;Sep-26;19.000;19881.6;17,86;0,86;;9
27/08/26;MINI IBEX-35;CALL;Sep-26;19.100;19881.6;17,45;0,83;;18
