===============================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 25/09/26
===============================================================================================

FECHA_BOLETIN  ACCION      TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ----------  ----  -----------------  ------  -----------------  ----------------
25/09/26       SANTANDER   CALL  Oct-26             12,50   8.000              8.006           
25/09/26       SOLARIA     PUT   Oct-26             15,00   4.000              4.000           
25/09/26       SANTANDER   PUT   Sep-27             12,00   3.500              3.502           
25/09/26       IBERDROLA   PUT   Dic-26             19,00   2.000              2.025           
25/09/26       TELEFONICA  CALL  Dic-26             2,80    2.000              2.000           
25/09/26       BBVA        PUT   Sep-27             24,00   1.500              1.500           
25/09/26       IBERDROLA   PUT   Sep-27             19,50   1.500              3.050           
25/09/26       AMADEUS     CALL  Dic-26             60,00   1.115              1.117           
25/09/26       SANTANDER   PUT   Nov-26             11,50   100                911             
25/09/26       REPSOL      CALL  Oct-26             32,00   99                 3.647           
-------------  ----------  ----  -----------------  ------  -----------------  ----------------
Generado: 26/09/2026 08:23
