accion;tipo;fecha_vencimiento;strike;volumen_contratos;posicion_abierta;fecha_boletin
MINI IBEX-35;CALL;May-26;14.100;-;11;14/05/26
MINI IBEX-35;CALL;May-26;14.300;-;1;14/05/26
MINI IBEX-35;CALL;May-26;14.400;-;2;14/05/26
MINI IBEX-35;CALL;May-26;14.500;-;240;14/05/26
MINI IBEX-35;CALL;May-26;14.600;-;1;14/05/26
MINI IBEX-35;CALL;May-26;14.700;-;2;14/05/26
MINI IBEX-35;CALL;May-26;14.800;-;10;14/05/26
MINI IBEX-35;CALL;May-26;15.500;-;459;14/05/26
MINI IBEX-35;CALL;May-26;15.600;-;5;14/05/26
MINI IBEX-35;CALL;May-26;15.650;-;3;14/05/26
MINI IBEX-35;CALL;May-26;15.700;-;12;14/05/26
MINI IBEX-35;CALL;May-26;15.750;-;6;14/05/26
MINI IBEX-35;CALL;May-26;15.800;-;5;14/05/26
MINI IBEX-35;CALL;May-26;15.850;-;1;14/05/26
MINI IBEX-35;CALL;May-26;15.900;-;21;14/05/26
MINI IBEX-35;CALL;May-26;16.000;-;9;14/05/26
MINI IBEX-35;CALL;May-26;16.050;-;1;14/05/26
MINI IBEX-35;CALL;May-26;16.100;-;14;14/05/26
MINI IBEX-35;CALL;May-26;16.150;-;1;14/05/26
MINI IBEX-35;CALL;May-26;16.200;-;14;14/05/26
MINI IBEX-35;CALL;May-26;16.300;-;7;14/05/26
MINI IBEX-35;CALL;May-26;16.350;-;78;14/05/26
MINI IBEX-35;CALL;May-26;16.400;-;104;14/05/26
MINI IBEX-35;CALL;May-26;16.450;-;2;14/05/26
MINI IBEX-35;CALL;May-26;16.500;-;117;14/05/26
MINI IBEX-35;CALL;May-26;16.550;-;4;14/05/26
MINI IBEX-35;CALL;May-26;16.600;-;9;14/05/26
MINI IBEX-35;CALL;May-26;16.650;-;5;14/05/26
MINI IBEX-35;CALL;May-26;16.700;-;27;14/05/26
MINI IBEX-35;CALL;May-26;16.750;-;12;14/05/26
MINI IBEX-35;CALL;May-26;16.800;-;2;14/05/26
MINI IBEX-35;CALL;May-26;16.850;-;10;14/05/26
MINI IBEX-35;CALL;May-26;16.900;-;20;14/05/26
MINI IBEX-35;CALL;May-26;16.925;-;2;14/05/26
MINI IBEX-35;CALL;May-26;17.000;-;377;14/05/26
MINI IBEX-35;CALL;May-26;17.025;-;214;14/05/26
MINI IBEX-35;CALL;May-26;17.050;-;1;14/05/26
MINI IBEX-35;CALL;May-26;17.100;-;11;14/05/26
MINI IBEX-35;CALL;May-26;17.175;-;3;14/05/26
MINI IBEX-35;CALL;May-26;17.200;1;8;14/05/26
MINI IBEX-35;CALL;May-26;17.250;1;2;14/05/26
MINI IBEX-35;CALL;May-26;17.300;-;8;14/05/26
MINI IBEX-35;CALL;May-26;17.350;-;2;14/05/26
MINI IBEX-35;CALL;May-26;17.400;2;14;14/05/26
MINI IBEX-35;CALL;May-26;17.450;1;16;14/05/26
MINI IBEX-35;CALL;May-26;17.500;105;46;14/05/26
MINI IBEX-35;CALL;May-26;17.550;100;9;14/05/26
MINI IBEX-35;CALL;May-26;17.575;2;2;14/05/26
MINI IBEX-35;CALL;May-26;17.600;101;20;14/05/26
MINI IBEX-35;CALL;May-26;17.625;2;2;14/05/26
MINI IBEX-35;CALL;May-26;17.650;100;7;14/05/26
MINI IBEX-35;CALL;May-26;17.675;-;2;14/05/26
MINI IBEX-35;CALL;May-26;17.700;1;13;14/05/26
MINI IBEX-35;CALL;May-26;17.750;2;1;14/05/26
MINI IBEX-35;CALL;May-26;17.775;-;1;14/05/26
MINI IBEX-35;CALL;May-26;17.800;1;23;14/05/26
MINI IBEX-35;CALL;May-26;17.825;1;1;14/05/26
MINI IBEX-35;CALL;May-26;17.850;1;10;14/05/26
MINI IBEX-35;CALL;May-26;17.900;-;15;14/05/26
MINI IBEX-35;CALL;May-26;17.925;-;1;14/05/26
MINI IBEX-35;CALL;May-26;17.950;-;3;14/05/26
MINI IBEX-35;CALL;May-26;18.000;-;15;14/05/26
MINI IBEX-35;CALL;May-26;18.050;-;4;14/05/26
MINI IBEX-35;CALL;May-26;18.100;-;17;14/05/26
MINI IBEX-35;CALL;May-26;18.150;-;4;14/05/26
MINI IBEX-35;CALL;May-26;18.200;-;10.001;14/05/26
MINI IBEX-35;CALL;May-26;18.225;-;3;14/05/26
MINI IBEX-35;CALL;May-26;18.250;-;1;14/05/26
MINI IBEX-35;CALL;May-26;18.275;-;1;14/05/26
MINI IBEX-35;CALL;May-26;18.300;1;4;14/05/26
MINI IBEX-35;CALL;May-26;18.350;-;1;14/05/26
MINI IBEX-35;CALL;May-26;18.400;-;1;14/05/26
MINI IBEX-35;CALL;May-26;18.450;-;1;14/05/26
MINI IBEX-35;CALL;May-26;18.500;-;14;14/05/26
MINI IBEX-35;CALL;May-26;18.600;-;1;14/05/26
MINI IBEX-35;CALL;May-26;18.700;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 16.000;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 16.100;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 16.300;;-;2;14/05/26
MINI IBEX-35;CALL;May-26 w4 16.400;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 16.500;;-;3;14/05/26
MINI IBEX-35;CALL;May-26 w4 16.600;;-;2;14/05/26
MINI IBEX-35;CALL;May-26 w4 16.700;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 16.900;;1;4;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.000;;3;5;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.100;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.200;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.250;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.300;;-;4;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.350;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.400;;-;4;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.450;;1;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.500;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.625;;1;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.650;;1;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.750;;2;1;14/05/26
MINI IBEX-35;CALL;May-26 w4 17.800;;1;1;14/05/26
MINI IBEX-35;CALL;May-26 w5 16.000;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w5 16.300;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w5 16.800;;1;5;14/05/26
MINI IBEX-35;CALL;May-26 w5 16.900;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w5 17.000;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w5 17.100;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w5 17.200;;-;2;14/05/26
MINI IBEX-35;CALL;May-26 w5 17.300;;1;7;14/05/26
MINI IBEX-35;CALL;May-26 w5 17.400;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w5 17.600;;-;1;14/05/26
MINI IBEX-35;CALL;May-26 w5 17.800;;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26 w1 16.000;;-;2;14/05/26
MINI IBEX-35;CALL;Jun-26 w1 16.800;;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26 w1 16.900;;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26 w1 17.100;;1;2;14/05/26
MINI IBEX-35;CALL;Jun-26 w1 17.200;;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;7.700;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;8.000;-;300;14/05/26
MINI IBEX-35;CALL;Jun-26;9.500;-;350;14/05/26
MINI IBEX-35;CALL;Jun-26;9.900;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;10.200;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;10.900;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;11.300;-;32;14/05/26
MINI IBEX-35;CALL;Jun-26;11.400;-;32;14/05/26
MINI IBEX-35;CALL;Jun-26;11.500;-;32;14/05/26
MINI IBEX-35;CALL;Jun-26;11.600;-;32;14/05/26
MINI IBEX-35;CALL;Jun-26;12.000;-;2;14/05/26
MINI IBEX-35;CALL;Jun-26;12.100;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;12.200;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;12.300;-;2;14/05/26
MINI IBEX-35;CALL;Jun-26;12.400;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;12.500;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;12.600;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;12.700;-;1;14/05/26
MINI IBEX-35;CALL;Jun-26;13.000;-;8;14/05/26
