==============================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 02/09/26
==============================================================================================

FECHA_BOLETIN  ACCION     TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ---------  ----  -----------------  ------  -----------------  ----------------
02/09/26       BBVA       CALL  Mar-27             25,00   11.500             11.721          
02/09/26       BBVA       PUT   Mar-27             25,00   11.500             11.500          
02/09/26       IBERDROLA  PUT   Sep-26             19,50   3.050              9.575           
02/09/26       BBVA       CALL  Dic-26             26,00   287                277             
02/09/26       SANTANDER  PUT   Oct-26             12,00   251                289             
02/09/26       INDITEX    PUT   Dic-26             50,00   200                200             
02/09/26       IBERDROLA  CALL  Sep-26             20,00   162                163             
02/09/26       MERLIN     PUT   Sep-26             14,50   83                 1               
02/09/26       BBVA       PUT   Dic-26             24,00   76                 581             
02/09/26       MERLIN     PUT   Sep-26             15,00   65                 35              
-------------  ---------  ----  -----------------  ------  -----------------  ----------------
Generado: 03/09/2026 07:51
