=================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 31/08/26
=================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
31/08/26       SANTANDER     CALL  Dic-26             13,00   6.000              16.015          
31/08/26       IBERDROLA     CALL  Oct-26             20,50   5.000              5.001           
31/08/26       IAG           CALL  Sep-26             4,90    210                202             
31/08/26       ENDESA        CALL  Jun-27             56,00   155                410             
31/08/26       REPSOL        PUT   Sep-26             27,00   151                302             
31/08/26       IAG           CALL  Mar-27             6,50    150                150             
31/08/26       SANTANDER     CALL  Dic-26             14,00   103                112             
31/08/26       CAIXABANK     PUT   Sep-26             12,50   100                108             
31/08/26       REPSOL        CALL  Sep-26             28,00   100                297             
31/08/26       MINI IBEX-35  PUT   Sep-26             19.600  76                 80              
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
Generado: 01/09/2026 08:23
