===============================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 27/07/26
===============================================================================================

FECHA_BOLETIN  ACCION      TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ----------  ----  -----------------  ------  -----------------  ----------------
27/07/26       BBVA        PUT   Sep-26             18,00   7.000              7.070           
27/07/26       BBVA        PUT   Ago-26             22,00   3.001              8.011           
27/07/26       REPSOL      PUT   Mar-27             20,00   200                200             
27/07/26       SANTANDER   CALL  Ago-26             13,00   200                261             
27/07/26       REPSOL      CALL  Dic-26             26,00   168                1.185           
27/07/26       REPSOL      CALL  Sep-26             25,00   151                534             
27/07/26       TELEFONICA  CALL  Jun-28             4,70    150                150             
27/07/26       TELEFONICA  CALL  Mar-27             3,70    150                158             
27/07/26       TELEFONICA  CALL  Jun-28             4,60    150                150             
27/07/26       INDRA       CALL  Ago-26             56,00   130                138             
-------------  ----------  ----  -----------------  ------  -----------------  ----------------
Generado: 28/07/2026 05:47
