==================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 18/08/26
==================================================================================================

FECHA_BOLETIN  ACCION         TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  -------------  ----  -----------------  ------  -----------------  ----------------
18/08/26       IBERDROLA      CALL  Sep-26             22,00   2.043              2.043           
18/08/26       BBVA           CALL  Jun-27             25,00   238                1.760           
18/08/26       INDITEX        PUT   Dic-26             46,44   209                253             
18/08/26       GRIFOLS        CALL  Sep-26             10,50   200                354             
18/08/26       MINI IBEX-35   PUT   Ago-26             19.425  164                164             
18/08/26       INDITEX        CALL  Dic-26             63,85   150                210             
18/08/26       INDITEX        CALL  Dic-26             61,92   150                253             
18/08/26       ARCELORMITTAL  PUT   Dic-26             60,00   115                115             
18/08/26       BBVA           CALL  Sep-26             23,00   100                150             
18/08/26       BBVA           CALL  Dic-27             26,00   100                100             
-------------  -------------  ----  -----------------  ------  -----------------  ----------------
Generado: 19/08/2026 03:47
