=================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 17/08/26
=================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
17/08/26       SANTANDER     PUT   Mar-27             13,00   14.500             14.500          
17/08/26       SANTANDER     CALL  Mar-27             13,00   5.000              5.105           
17/08/26       BBVA          PUT   Mar-27             23,00   3.000              3.050           
17/08/26       SANTANDER     PUT   Sep-26             12,00   700                921             
17/08/26       INDRA         PUT   Sep-26             50,00   500                500             
17/08/26       SANTANDER     CALL  Jun-27             13,00   469                624             
17/08/26       FERROVIAL     CALL  Sep-26             62,00   452                452             
17/08/26       ACERINOX      PUT   Sep-28             18,00   138                138             
17/08/26       MINI IBEX-35  PUT   Ago-26             19.600  120                138             
17/08/26       REPSOL        CALL  Sep-26             28,00   103                239             
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
Generado: 18/08/2026 03:45
