==================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 31/07/26
==================================================================================================

FECHA_BOLETIN  ACCION         TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  -------------  ----  -----------------  ------  -----------------  ----------------
31/07/26       MINI IBEX-35   PUT   Sep-26             19.000  5.557              5.330           
31/07/26       SANTANDER      CALL  Dic-26             13,00   5.000              5.000           
31/07/26       BBVA           PUT   Ago-26             22,00   4.004              12.015          
31/07/26       REPSOL         CALL  Mar-28             33,00   800                800             
31/07/26       BBVA           CALL  Sep-26             23,00   150                174             
31/07/26       GRIFOLS        PUT   Ago-26             9,00    100                148             
31/07/26       INDITEX        CALL  Oct-26             63,85   100                100             
31/07/26       ARCELORMITTAL  PUT   Dic-26             50,00   80                 25              
31/07/26       GRIFOLS        CALL  Dic-26             11,00   78                 99              
31/07/26       TELEFONICA     PUT   Ago-26             3,70    55                 184             
-------------  -------------  ----  -----------------  ------  -----------------  ----------------
Generado: 03/08/2026 06:25
