accion;tipo;fecha_vencimiento;strike;volumen_contratos;posicion_abierta;fecha_boletin
MINI IBEX-35;CALL;May-26 w2 16.200;;-;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.300;;-;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.400;;-;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.500;;-;3;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.600;;-;3;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.650;;-;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.700;;-;2;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.750;;-;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.800;;2;2;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.900;;-;2;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.950;;-;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 16.975;;1;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.000;;1;3;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.100;;-;2;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.150;;1;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.200;;-;3;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.250;;-;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.300;;-;3;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.350;;-;2;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.400;;1;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.500;;-;8;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.600;;-;5;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.625;;-;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.650;;-;3;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.700;;-;2;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.750;;-;3;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.800;;1;4;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.850;;-;1;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.900;;-;2;05/05/26
MINI IBEX-35;CALL;May-26 w2 17.950;;1;2;05/05/26
MINI IBEX-35;CALL;May-26 w2 18.225;;-;2;05/05/26
MINI IBEX-35;CALL;May-26 w2 18.250;;-;5;05/05/26
MINI IBEX-35;CALL;May-26;14.100;-;11;05/05/26
MINI IBEX-35;CALL;May-26;14.300;-;1;05/05/26
MINI IBEX-35;CALL;May-26;14.400;-;2;05/05/26
MINI IBEX-35;CALL;May-26;14.500;3;240;05/05/26
MINI IBEX-35;CALL;May-26;14.600;-;1;05/05/26
MINI IBEX-35;CALL;May-26;14.700;-;2;05/05/26
MINI IBEX-35;CALL;May-26;14.800;-;10;05/05/26
MINI IBEX-35;CALL;May-26;15.500;-;459;05/05/26
MINI IBEX-35;CALL;May-26;15.600;-;5;05/05/26
MINI IBEX-35;CALL;May-26;15.650;-;3;05/05/26
MINI IBEX-35;CALL;May-26;15.700;-;12;05/05/26
MINI IBEX-35;CALL;May-26;15.750;-;6;05/05/26
MINI IBEX-35;CALL;May-26;15.800;-;5;05/05/26
