=================================================================================================
  MEFF - TOP 10 VOLUMEN CONTRATOS  |  Boletin: 19/08/26
=================================================================================================

FECHA_BOLETIN  ACCION        TIPO  FECHA_VENCIMIENTO  STRIKE  VOLUMEN_CONTRATOS  POSICION_ABIERTA
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
19/08/26       BBVA          CALL  Mar-27             22,00   4.000              4.055           
19/08/26       BBVA          CALL  Mar-27             21,50   4.000              4.000           
19/08/26       SANTANDER     CALL  Ago-26             12,00   2.000              2.266           
19/08/26       SANTANDER     PUT   Jun-27             10,00   2.000              10.005          
19/08/26       BBVA          CALL  Ago-26             24,00   1.762              1.792           
19/08/26       REPSOL        CALL  Jun-28             34,00   1.000              1.000           
19/08/26       BBVA          CALL  Ago-26             23,00   881                911             
19/08/26       BBVA          PUT   Mar-27             22,00   125                140             
19/08/26       SANTANDER     PUT   Mar-27             11,00   100                9.547           
19/08/26       MINI IBEX-35  PUT   Ago-26             19.325  43                 43              
-------------  ------------  ----  -----------------  ------  -----------------  ----------------
Generado: 20/08/2026 03:47
