fecha_boletin;accion;tipo;fecha_vencimiento;strike;spot;volatilidad_cierre;delta_cierre;volumen_contratos;posicion_abierta
15/07/26;MINI IBEX-35;CALL;Jul-26;17.000;19275.5;28,16;1,00;;1
15/07/26;MINI IBEX-35;CALL;Jul-26;17.300;19275.5;26,90;1,00;;100
15/07/26;MINI IBEX-35;CALL;Jul-26;17.500;19275.5;26,06;1,00;;1
15/07/26;MINI IBEX-35;CALL;Jul-26;17.600;19275.5;25,64;1,00;;100
15/07/26;MINI IBEX-35;CALL;Jul-26;17.850;19275.5;24,59;1,00;;100
15/07/26;MINI IBEX-35;CALL;Jul-26;17.900;19275.5;24,38;1,00;;2
15/07/26;MINI IBEX-35;CALL;Jul-26;18.000;19275.5;23,96;1,00;;18
15/07/26;MINI IBEX-35;CALL;Jul-26;18.050;19275.5;23,75;1,00;;1
15/07/26;MINI IBEX-35;CALL;Jul-26;18.100;19275.5;23,54;1,00;;105
15/07/26;MINI IBEX-35;CALL;Jul-26;18.150;19275.5;23,33;1,00;;106
15/07/26;MINI IBEX-35;CALL;Jul-26;18.200;19275.5;23,12;1,00;;4
15/07/26;MINI IBEX-35;CALL;Jul-26;18.250;19275.5;22,91;1,00;;3
15/07/26;MINI IBEX-35;CALL;Jul-26;18.300;19275.5;22,70;1,00;;3
15/07/26;MINI IBEX-35;CALL;Jul-26;18.350;19275.5;22,49;1,00;;2
15/07/26;MINI IBEX-35;CALL;Jul-26;18.400;19275.5;22,28;1,00;;3
15/07/26;MINI IBEX-35;CALL;Jul-26;18.450;19275.5;22,07;1,00;;4
15/07/26;MINI IBEX-35;CALL;Jul-26;18.500;19275.5;21,86;0,99;;33
15/07/26;MINI IBEX-35;CALL;Jul-26;18.550;19275.5;21,65;0,99;;10
15/07/26;MINI IBEX-35;CALL;Jul-26;18.600;19275.5;21,44;0,99;;6
15/07/26;MINI IBEX-35;CALL;Jul-26;18.700;19275.5;21,02;0,97;;1
15/07/26;MINI IBEX-35;CALL;Jul-26;18.800;19275.5;20,60;0,94;;24
15/07/26;MINI IBEX-35;CALL;Jul-26;18.850;19275.5;20,38;0,93;;11
15/07/26;MINI IBEX-35;CALL;Jul-26;18.900;19275.5;20,17;0,90;;8
15/07/26;MINI IBEX-35;CALL;Jul-26;18.950;19275.5;19,96;0,87;;1
15/07/26;MINI IBEX-35;CALL;Jul-26;19.000;19275.5;19,75;0,83;;27
15/07/26;MINI IBEX-35;CALL;Jul-26;19.050;19275.5;19,54;0,78;;2
15/07/26;MINI IBEX-35;CALL;Jul-26;19.100;19275.5;19,33;0,73;1;7
15/07/26;MINI IBEX-35;CALL;Jul-26;19.150;19275.5;19,12;0,67;1;1
15/07/26;MINI IBEX-35;CALL;Jul-26;19.200;19275.5;18,91;0,60;1;17
15/07/26;MINI IBEX-35;CALL;Jul-26;19.250;19275.5;18,70;0,53;4;110
15/07/26;MINI IBEX-35;CALL;Jul-26;19.275;19275.5;18,62;0,49;;1
15/07/26;MINI IBEX-35;CALL;Jul-26;19.300;19275.5;18,57;0,45;;12
15/07/26;MINI IBEX-35;CALL;Jul-26;19.350;19275.5;18,48;0,38;;9
15/07/26;MINI IBEX-35;CALL;Jul-26;19.400;19275.5;18,39;0,31;1;18
